f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,label
1,18,32,40,44,51,38,41,44,34,243,127,75,32,13,4,2,2,0,0,166,86,54,40,22,15,22,11,14,9,0
2,5,9,13,18,23,25,29,26,31,235,130,91,12,13,7,3,0,1,3,141,104,58,36,25,17,16,13,10,6,0
6,14,37,50,59,58,44,33,27,31,199,147,89,40,11,7,3,2,0,0,139,101,50,42,26,28,18,14,14,8,0
0,11,3,14,21,21,18,16,25,24,221,144,66,35,15,6,5,0,0,2,118,117,65,48,20,14,25,13,12,8,0
1,14,24,50,49,52,42,41,34,29,222,147,70,40,14,3,1,1,0,0,150,114,56,29,30,18,11,10,14,9,0
1,3,12,13,21,22,17,33,27,28,224,151,66,25,16,6,5,0,2,0,122,104,73,33,23,25,20,11,8,14,0
1,26,37,45,50,57,44,33,40,25,209,142,77,40,18,5,5,1,2,1,141,112,61,38,27,12,20,15,7,14,0
3,24,24,20,25,16,22,33,18,22,96,86,70,59,38,27,21,19,20,16,63,41,62,49,46,36,32,23,20,13,0
24,51,26,25,18,16,20,24,27,26,130,79,56,42,35,28,29,18,22,12,65,68,52,53,50,40,30,20,16,11,0
7,18,16,20,27,29,39,31,15,22,85,88,67,48,50,28,29,17,15,13,71,59,54,51,31,27,26,23,24,18,0
29,55,21,23,16,14,27,36,24,28,119,87,64,50,35,22,19,17,15,8,56,87,36,53,41,39,29,23,20,17,0
3,25,19,29,35,22,25,36,24,35,85,87,65,63,38,34,24,17,13,10,58,64,45,49,45,38,31,22,16,19,0
26,51,25,25,16,18,25,23,26,18,137,75,54,50,34,29,23,17,17,11,67,53,60,56,42,34,18,25,20,14,0
3,26,20,26,19,25,27,17,23,27,93,86,56,58,38,39,24,17,14,11,73,46,49,59,41,33,27,17,24,19,0
29,54,25,22,21,19,5,9,21,18,133,78,58,44,37,25,34,16,14,11,58,71,58,40,40,26,24,32,18,26,0
6,22,23,23,32,29,19,29,26,28,97,67,57,54,41,26,25,22,19,14,63,51,56,55,38,39,31,21,27,12,0
26,49,28,25,34,18,27,29,22,19,130,88,57,41,40,32,20,10,19,10,73,52,56,47,40,36,21,18,17,21,0
8,19,16,32,24,24,25,35,24,22,102,82,41,64,47,36,23,17,16,11,63,57,55,49,47,32,39,19,20,17,0
34,53,30,24,21,20,23,11,28,27,132,81,59,36,42,30,14,30,14,9,74,70,64,36,40,27,28,15,28,14,0
3,20,17,19,30,31,38,22,19,20,92,82,72,54,41,31,19,17,15,8,76,66,55,36,30,35,35,25,18,16,0
24,57,24,26,15,15,12,23,30,22,135,83,68,42,30,28,18,20,8,11,74,76,46,41,33,35,30,23,15,15,0
4,20,17,17,27,26,24,24,40,27,90,72,57,70,39,29,28,19,21,10,63,56,52,52,39,36,31,23,27,11,0
30,57,21,25,22,21,10,16,20,15,129,74,57,33,49,33,22,25,9,9,69,66,49,49,40,30,30,28,15,12,0
7,11,26,33,30,17,12,13,24,23,119,78,62,48,33,26,20,14,17,14,65,55,61,42,37,26,36,35,16,17,0
18,63,26,26,34,17,30,12,18,18,131,87,61,37,30,25,19,29,14,11,70,66,39,45,40,41,36,23,24,11,0
2,22,14,23,37,35,34,23,20,35,81,86,64,53,44,34,21,21,20,14,66,54,48,50,26,31,35,36,21,14,0
26,64,31,24,15,21,15,17,23,27,111,87,64,54,35,27,21,17,15,9,72,75,55,46,31,28,31,20,22,11,0
3,16,25,19,27,26,21,23,42,44,81,80,70,49,44,33,31,18,15,13,77,57,46,47,30,45,23,26,25,20,0
26,53,25,23,19,11,14,16,18,19,134,106,45,30,30,21,14,29,15,18,53,54,58,44,46,43,26,25,22,8,0
5,18,15,25,38,21,39,30,29,16,75,83,72,54,38,33,26,27,16,20,68,60,58,44,34,38,25,23,20,19,0
32,58,27,32,18,21,25,23,17,15,134,91,52,35,26,24,29,16,16,18,93,49,57,46,36,25,30,20,14,20,0
4,14,17,16,28,30,23,27,39,35,87,85,55,55,40,32,29,20,23,8,63,50,47,43,40,45,33,16,27,22,0
22,58,27,27,17,16,27,26,27,25,135,82,58,42,45,26,17,18,14,13,66,73,50,50,33,36,25,24,19,16,0
6,16,17,26,30,32,37,25,26,35,109,84,63,46,36,34,14,19,18,17,65,69,60,45,30,32,31,26,19,13,0
34,55,32,27,16,21,16,24,36,20,125,84,56,51,30,24,26,25,22,10,82,54,56,43,38,26,29,31,23,10,0
6,14,12,17,34,21,40,30,23,16,100,76,77,50,34,31,22,17,13,17,65,71,43,45,45,46,30,16,13,23,0
28,54,25,35,15,10,13,20,15,17,132,88,57,48,30,18,27,14,21,8,72,65,53,47,40,33,38,20,16,16,0
7,14,17,17,31,28,27,26,22,18,96,89,59,59,39,31,23,14,13,11,62,56,63,41,36,36,32,23,21,19,0
36,54,30,35,15,11,12,13,18,21,133,80,58,40,26,26,27,19,16,11,81,64,48,41,39,28,25,21,21,20,0
4,14,13,22,23,33,26,25,43,25,92,80,64,53,41,26,27,21,17,16,60,73,62,50,29,27,24,22,21,17,0
26,57,30,28,21,20,24,34,24,24,125,90,49,37,32,30,21,27,16,16,61,61,51,50,36,27,37,34,14,17,0
4,21,20,28,28,26,22,28,20,24,103,77,45,59,40,25,28,23,15,13,69,55,37,44,43,38,27,35,18,22,0
40,51,27,26,11,12,7,18,18,16,138,76,60,38,24,21,23,26,10,17,69,59,48,56,38,31,30,16,18,22,0
6,12,16,24,28,24,30,28,39,30,92,78,68,44,29,28,20,35,19,17,66,61,48,52,44,30,26,31,21,17,0
24,64,23,27,18,19,16,27,15,26,125,89,46,39,46,31,20,16,16,14,66,57,55,40,45,34,40,26,12,16,0
4,15,17,17,28,35,26,29,23,29,88,64,65,68,46,24,29,18,18,18,65,55,61,43,44,38,29,19,12,11,0
33,58,29,21,17,11,16,18,19,20,142,84,63,42,31,19,21,19,14,7,78,63,54,38,40,28,23,29,21,18,0
5,10,16,16,32,28,23,26,24,31,78,90,58,49,42,29,28,15,29,15,54,50,48,60,47,47,29,23,14,18,0
27,60,24,29,15,9,10,17,20,20,124,95,59,41,28,19,32,17,18,11,75,73,50,42,43,23,30,31,21,17,0
4,16,16,22,25,30,30,37,32,24,84,74,75,50,47,32,26,17,15,19,79,53,57,42,41,35,27,18,16,21,0
29,68,23,22,16,17,28,26,25,30,124,97,51,48,27,20,19,25,16,15,77,64,57,35,45,35,25,22,17,16,0
4,13,19,23,30,29,24,29,36,32,90,84,63,54,34,25,20,21,24,16,51,70,50,43,42,46,27,21,22,17,0
25,59,25,30,19,15,14,19,21,20,142,92,57,44,23,34,19,17,17,6,77,62,54,44,43,32,27,24,19,19,0
1,17,15,28,31,26,22,26,18,21,75,81,65,52,42,32,18,25,21,15,65,49,51,53,48,27,23,23,21,16,0
34,60,29,27,17,9,19,17,20,20,139,81,51,43,30,23,25,22,19,17,67,66,58,53,32,32,24,30,11,24,0
2,11,13,13,33,36,21,21,25,19,96,73,49,59,42,34,30,16,17,26,65,60,56,40,41,34,23,27,19,18,0
27,59,30,29,15,9,19,12,15,21,155,79,49,44,33,22,15,11,16,19,73,69,66,47,43,33,33,19,21,6,0
4,14,16,23,28,30,23,31,23,32,76,79,76,49,38,27,22,18,22,14,54,62,60,42,44,31,32,21,19,14,0
40,55,27,25,17,15,23,17,8,22,139,100,57,44,27,17,25,13,18,14,78,69,58,48,34,35,21,22,20,22,0
1,10,9,31,34,33,35,33,29,26,83,61,66,58,44,34,22,24,14,17,71,59,44,41,40,30,33,20,19,16,0
26,64,23,33,18,11,15,17,20,27,131,89,63,36,34,26,15,23,15,11,73,70,52,38,46,31,40,22,19,17,0
5,9,19,24,24,38,28,32,31,29,95,70,55,55,45,30,22,24,25,15,69,55,57,55,38,30,30,26,19,17,0
41,57,29,29,13,11,24,17,18,28,133,94,54,42,26,29,20,16,16,14,74,63,50,43,38,39,25,25,22,15,0
15,59,24,23,15,24,13,17,29,28,125,82,50,39,34,36,41,16,15,11,74,75,60,49,37,30,27,20,13,18,0
6,23,22,24,44,34,26,26,28,22,108,66,74,48,43,20,30,20,14,7,74,59,50,53,57,42,31,21,23,11,0
17,54,22,24,11,8,16,25,32,25,117,79,42,48,42,28,24,21,20,19,73,66,54,54,38,40,32,29,15,11,0
6,24,19,33,30,28,27,18,27,24,115,73,66,39,32,32,35,21,24,16,84,59,51,48,45,42,26,26,18,10,0
24,53,33,17,13,19,30,24,21,16,131,72,64,42,38,37,22,12,13,16,66,72,47,66,37,26,28,30,18,11,0
4,22,19,27,32,37,31,23,25,27,91,76,69,41,42,34,28,19,18,9,74,63,53,42,34,45,40,17,16,17,0
17,59,20,28,17,22,12,18,23,20,132,83,55,41,32,32,19,14,18,10,59,76,60,37,46,33,34,24,26,9,0
5,26,11,24,29,30,36,37,33,37,80,81,74,48,45,32,33,17,13,15,66,64,59,42,44,37,25,22,22,14,0
25,53,26,26,17,7,15,9,17,19,126,81,70,30,40,26,16,21,16,9,82,52,71,47,38,43,27,15,19,14,0
2,21,19,21,32,34,32,22,30,22,88,82,65,49,48,25,27,13,20,17,65,68,64,56,35,40,26,24,13,20,0
20,53,30,29,26,18,14,18,18,13,119,84,62,49,33,31,21,14,17,16,85,74,50,53,43,30,20,25,16,11,0
3,27,20,27,23,33,28,33,28,30,98,84,66,50,31,30,22,23,11,15,75,53,56,59,38,44,27,25,12,16,0
29,50,22,22,10,26,13,28,19,17,133,91,66,30,29,30,27,14,18,13,77,72,50,40,38,39,25,21,22,17,0
5,18,17,13,26,23,36,40,35,30,97,70,71,53,38,41,25,17,14,10,64,85,56,47,43,33,24,24,14,9,0
18,59,20,27,15,19,19,25,20,24,129,94,45,46,39,28,19,13,14,9,85,75,48,50,32,32,38,16,15,16,0
8,14,13,21,44,33,28,35,24,18,97,85,45,53,30,50,30,25,19,9,76,59,67,52,36,32,16,24,23,18,0
25,54,26,25,15,10,17,26,22,30,138,76,58,41,40,28,16,22,11,12,74,64,54,45,51,25,33,28,23,11,0
4,18,20,26,28,22,31,27,26,15,110,83,55,51,35,24,24,18,14,17,78,59,62,40,40,43,33,20,13,15,0
24,50,28,28,16,15,22,22,17,18,135,91,56,42,33,29,19,15,16,8,80,77,55,49,34,26,36,21,13,14,0
5,21,12,18,27,38,24,21,30,27,85,80,71,43,45,28,27,20,21,15,73,71,63,59,33,28,32,23,12,13,0
23,60,22,29,16,5,8,15,13,26,137,86,42,40,37,29,21,14,21,13,76,66,67,46,33,27,31,20,19,13,0
3,16,17,17,22,18,37,30,34,27,92,76,74,47,34,32,30,30,14,12,75,64,61,48,39,33,31,25,17,14,0
21,52,30,28,23,23,20,19,18,17,135,101,52,44,28,24,22,22,15,6,79,69,55,54,34,40,25,14,19,18,0
3,16,17,16,34,31,24,32,30,35,90,86,68,48,38,25,22,22,20,14,76,74,50,52,41,27,25,25,21,12,0
30,51,29,22,10,27,25,25,15,19,128,97,52,37,35,29,29,19,19,18,90,67,68,34,32,34,19,26,30,18,0
2,19,7,13,27,28,25,35,32,33,93,71,71,55,49,27,25,17,6,16,68,56,62,59,44,41,31,26,9,16,0
22,58,24,29,23,4,11,14,26,19,133,70,62,42,30,29,24,23,16,16,87,66,60,50,37,42,21,26,22,13,0
3,16,21,23,34,22,16,17,20,28,81,87,58,65,27,29,25,17,26,17,68,65,63,47,38,33,33,23,18,17,0
24,61,31,18,15,12,19,23,13,28,133,76,59,40,40,23,22,18,17,10,75,70,56,42,47,31,29,27,23,12,0
3,14,17,18,21,19,23,43,40,31,90,96,59,48,33,21,31,18,19,18,65,58,60,51,38,37,31,27,21,12,0
21,55,29,30,19,13,15,22,20,21,126,94,56,50,28,25,24,20,12,17,71,64,76,47,40,32,24,23,23,11,0
1,17,13,19,35,38,35,32,18,37,88,70,63,52,42,33,32,21,18,18,70,74,54,47,41,29,27,25,20,11,0
28,59,29,26,12,11,10,10,19,19,119,93,56,46,37,27,23,21,15,5,68,71,58,40,49,32,33,15,24,16,0
1,16,15,19,28,32,37,35,29,22,81,86,60,54,47,32,21,23,12,8,60,61,57,62,42,36,34,18,28,14,0
20,59,31,31,15,17,18,17,14,19,141,85,53,38,35,25,21,21,16,12,77,70,67,53,44,27,21,18,20,13,0
4,13,14,34,42,23,26,23,26,22,90,82,62,58,42,33,21,15,12,13,79,68,62,41,39,37,25,17,19,19,0
32,55,29,27,17,18,16,20,20,21,137,81,51,36,40,35,18,12,17,8,80,66,54,50,35,37,22,29,20,14,0
1,14,17,12,38,27,35,26,37,25,91,70,68,50,36,38,29,23,14,11,58,70,61,61,39,35,26,32,9,15,0
20,62,25,31,22,14,20,27,18,22,142,88,68,32,28,26,21,21,17,16,79,71,62,35,38,27,30,22,22,21,0
2,11,13,20,20,35,29,25,25,25,79,76,64,66,38,23,34,22,20,14,63,60,58,51,38,40,24,26,24,22,0
26,66,23,33,10,9,9,23,29,15,123,88,65,47,32,23,15,16,19,15,75,68,52,45,49,28,33,23,17,15,0
3,13,12,15,29,28,33,38,30,23,79,77,65,53,51,35,23,20,17,11,54,86,47,53,45,31,35,19,16,18,0
27,55,25,32,16,25,10,17,15,24,135,95,58,38,30,21,24,18,15,17,84,79,53,46,44,32,27,25,18,10,0
2,10,16,20,25,18,33,32,26,32,92,75,66,38,42,30,27,28,20,13,62,62,61,39,51,32,31,25,25,19,0
30,59,34,27,18,23,30,20,18,13,118,92,67,42,32,27,22,12,13,14,82,63,61,55,44,35,20,21,21,22,0
2,9,13,14,29,25,36,29,30,29,96,64,57,48,51,32,29,18,17,15,81,63,60,39,48,39,25,25,18,14,0
17,68,30,35,24,19,19,20,23,16,139,91,47,45,28,23,30,18,10,8,86,67,57,54,39,31,27,24,16,7,0
2,10,14,16,21,22,46,30,29,23,87,79,61,51,34,42,30,18,16,17,71,66,42,55,39,33,22,37,18,18,0
31,60,32,28,20,7,23,16,26,32,146,86,54,44,36,22,26,19,13,7,81,71,47,49,40,51,23,27,18,12,0
0,13,7,10,15,23,37,37,35,25,99,82,53,42,31,45,36,23,19,6,65,61,56,57,38,38,29,18,21,14,0
27,58,28,27,24,20,24,15,25,34,160,80,45,36,25,24,28,17,16,12,84,59,62,36,39,38,33,24,17,19,0
3,10,10,25,24,25,33,31,30,30,92,67,68,47,38,29,22,13,30,18,64,52,56,62,46,34,21,23,21,14,0
26,67,33,28,12,14,14,22,19,22,145,80,57,36,34,35,14,15,11,16,77,77,60,50,37,35,40,12,16,19,0
1,9,7,14,26,34,28,29,42,26,84,59,63,54,43,36,34,24,18,14,70,56,62,41,41,28,31,26,29,9,0
21,66,27,36,26,7,12,24,19,20,152,82,62,37,32,26,18,14,11,14,79,66,63,55,39,25,29,27,17,17,0
1,6,8,12,21,34,24,36,28,24,89,79,63,40,40,32,32,18,17,15,71,51,70,36,38,31,27,26,27,21,0
7,34,24,30,33,37,32,18,20,20,86,71,57,48,43,43,32,18,21,13,85,74,75,42,40,36,29,13,14,18,0
20,43,20,25,10,11,16,18,19,22,87,75,48,44,48,24,28,22,22,8,71,76,62,33,40,33,33,34,23,15,0
13,22,24,30,49,38,24,27,22,23,87,62,62,45,49,35,24,25,20,25,73,66,63,48,38,34,25,31,13,18,0
22,45,22,18,12,16,22,22,28,29,111,58,56,44,29,28,28,22,19,20,95,69,39,65,39,29,28,15,16,17,0
11,23,17,28,37,34,15,28,32,29,87,77,72,37,51,22,31,20,21,10,85,63,57,47,38,40,30,23,16,17,0
18,44,18,21,16,13,27,13,25,28,106,66,59,34,29,27,28,25,20,16,73,68,59,53,28,37,27,28,28,20,0
9,28,18,27,25,20,21,35,23,17,79,57,67,56,39,38,28,21,23,13,82,65,60,47,44,37,21,20,14,16,0
20,47,25,22,9,4,22,17,26,28,110,68,44,45,31,27,14,30,24,21,72,74,55,35,47,47,41,25,16,17,0
8,29,14,22,33,26,32,21,29,37,83,80,52,56,38,42,26,23,17,16,80,86,64,42,37,28,30,20,18,15,0
18,43,26,23,7,12,20,25,19,28,97,79,47,27,28,27,29,34,29,15,72,68,63,49,43,38,26,16,15,15,0
9,28,22,36,29,28,21,22,24,15,84,73,72,46,42,34,21,28,17,8,66,83,55,35,31,42,35,34,21,18,0
22,49,20,23,17,22,30,27,31,31,104,67,54,43,30,27,33,23,17,15,71,81,64,54,34,29,31,17,18,17,0
12,22,18,28,38,29,16,29,20,34,86,61,79,51,39,23,29,21,20,17,86,71,50,46,43,31,35,20,24,19,0
20,45,19,19,12,15,11,19,20,12,119,62,44,38,37,26,21,27,17,11,72,66,64,42,50,27,29,23,24,9,0
11,28,22,26,30,29,23,26,19,18,101,71,56,45,38,29,20,20,24,13,86,74,53,57,30,37,26,17,12,14,0
24,47,17,29,16,10,19,18,24,26,108,71,47,28,36,28,40,15,18,14,87,60,51,57,46,33,36,28,11,12,0
9,22,24,19,43,26,34,34,21,24,87,73,66,51,38,28,25,18,22,18,68,63,59,51,51,35,27,25,22,14,0
19,46,23,15,9,21,15,17,16,22,116,68,57,41,29,32,25,15,25,14,73,68,59,41,34,42,24,22,21,24,0
6,36,22,30,23,18,17,16,27,31,86,80,65,40,41,32,20,21,17,17,72,72,65,55,38,44,23,16,20,12,0
25,43,26,24,8,13,27,26,18,31,84,86,64,37,35,33,25,22,16,13,87,64,60,58,34,27,35,13,30,20,0
9,27,17,26,30,30,31,22,25,23,103,72,52,62,37,26,23,19,17,15,71,71,62,57,41,38,42,25,20,9,0
21,45,21,31,11,17,15,21,17,21,103,63,65,36,27,34,26,19,17,19,79,62,70,29,46,31,44,33,24,8,0
10,22,24,27,33,37,35,20,27,19,87,77,56,51,32,37,25,27,15,11,77,77,68,46,25,37,34,20,11,18,0
24,48,19,30,20,20,23,20,20,13,114,65,50,36,32,23,24,20,17,17,82,61,61,68,45,27,20,21,18,14,0
9,18,23,23,43,35,34,28,13,18,94,65,61,44,43,30,24,20,17,22,91,70,57,54,41,27,27,25,12,16,0
20,46,22,25,17,10,18,15,26,18,120,75,51,29,29,28,29,20,13,18,71,71,59,43,32,29,35,31,22,16,0
8,25,21,28,35,23,26,15,23,21,77,81,68,52,41,37,26,23,16,13,82,54,49,55,48,41,34,19,18,19,0
22,54,20,29,12,4,15,24,30,18,99,76,43,41,41,24,26,24,23,16,79,69,60,47,38,33,28,23,18,23,0
5,22,19,16,24,14,33,41,32,39,91,66,49,50,34,38,25,23,28,16,68,60,69,55,51,41,20,21,9,21,0
19,52,18,28,5,8,19,24,18,20,123,71,49,36,24,26,20,20,15,13,87,53,55,44,52,42,26,27,26,10,0
6,29,14,25,29,8,20,30,23,20,87,79,64,50,39,31,16,23,13,12,77,59,48,54,55,29,24,21,23,15,0
26,49,21,22,18,21,20,22,19,24,124,63,51,42,21,24,26,27,21,9,78,72,67,52,38,27,24,21,24,16,0
7,25,20,29,35,23,14,16,21,23,96,80,61,45,30,29,24,18,17,17,68,79,74,42,32,32,31,22,19,10,0
22,47,21,25,14,24,26,22,19,22,109,70,70,44,35,19,17,15,15,16,81,60,63,44,34,31,28,28,25,17,0
10,30,20,25,34,26,28,27,23,17,92,73,58,55,35,36,19,16,12,14,82,73,56,57,37,33,23,18,11,16,0
29,46,19,26,16,18,19,23,22,24,102,85,44,38,35,27,35,23,15,19,88,70,57,47,44,31,31,22,13,11,0
5,22,19,30,30,23,17,25,26,27,93,67,64,43,33,34,29,28,13,11,77,67,62,50,46,36,33,18,21,13,0
23,48,17,32,8,9,20,16,14,21,116,73,52,43,29,38,23,14,14,15,78,60,49,51,35,34,26,27,26,19,0
7,24,23,22,28,17,28,34,21,22,78,70,64,47,43,34,34,17,15,16,67,83,77,41,49,29,29,14,11,13,0
26,51,22,24,17,20,17,19,17,22,112,52,65,44,42,22,22,15,24,17,86,71,52,42,46,40,29,22,14,14,0
6,20,14,30,35,33,31,25,24,24,95,73,59,57,27,27,25,15,15,14,78,92,56,56,23,35,29,14,18,11,0
24,46,23,29,14,11,13,29,26,28,103,79,42,38,43,23,28,22,19,19,79,70,55,56,46,35,28,21,17,13,0
8,19,27,26,36,21,20,21,34,28,94,67,66,42,25,31,35,23,22,8,85,77,62,47,37,37,23,17,18,11,0
25,53,25,22,7,16,15,25,14,26,110,81,48,30,31,31,28,20,25,16,93,64,47,41,43,27,27,29,19,22,0
4,25,17,28,43,37,28,18,22,16,89,73,68,42,43,34,19,21,23,14,77,75,60,64,40,29,23,15,21,13,0
18,52,25,16,13,10,25,19,23,20,108,66,47,52,41,26,18,26,22,15,73,86,56,36,49,28,29,28,23,8,0
5,21,24,32,34,18,21,27,31,22,90,66,64,43,39,42,27,22,17,12,86,67,64,46,42,31,27,23,19,12,0
27,53,18,24,7,18,17,14,21,22,113,72,52,41,28,24,37,25,13,8,80,66,56,55,46,40,31,18,21,11,0
5,23,20,29,36,24,15,33,19,30,99,81,45,48,37,23,24,19,22,15,69,81,62,47,48,28,26,17,19,16,0
23,52,19,29,21,22,20,17,24,23,123,57,59,39,33,29,19,22,9,15,86,61,63,47,36,33,27,24,20,16,0
4,25,24,26,33,21,26,14,27,24,74,73,58,45,35,33,29,32,12,25,67,86,54,50,33,50,27,23,20,15,0
29,51,26,22,11,17,15,15,21,15,105,82,40,42,38,32,18,18,14,17,82,70,71,47,43,32,25,19,16,17,0
2,28,19,27,33,27,13,17,14,19,78,75,69,53,30,31,25,20,21,12,80,67,43,48,39,47,35,32,20,11,0
22,46,24,30,15,17,16,24,22,15,118,59,61,41,30,27,28,24,14,8,81,61,66,52,45,26,36,15,19,20,0
2,25,21,26,25,31,28,15,15,14,78,75,65,44,44,34,26,23,19,14,91,72,49,44,39,40,20,26,24,17,0
34,50,33,26,23,13,17,17,12,22,93,92,60,31,35,32,26,15,16,19,84,63,77,48,33,26,32,18,19,13,0
20,72,31,27,19,18,13,27,12,16,176,93,49,38,31,16,23,16,12,11,92,71,59,40,42,33,17,20,23,12,0
1,6,5,7,15,28,30,30,29,29,83,103,75,51,44,29,26,26,9,12,61,59,71,54,41,39,38,19,13,16,0
23,66,22,33,24,14,13,26,16,23,164,90,55,42,33,17,21,21,11,12,81,71,59,52,35,35,31,27,20,16,0
0,5,12,23,26,25,28,22,23,26,93,93,58,55,38,38,23,19,19,13,71,59,64,40,33,39,35,25,16,28,0
24,70,31,26,19,24,23,21,21,11,173,86,55,37,25,28,16,16,10,13,93,62,49,47,33,35,17,35,24,19,0
1,8,11,13,14,31,23,26,21,26,86,106,51,63,35,42,25,14,16,17,70,70,57,52,47,32,30,29,14,15,0
25,60,29,25,21,9,13,20,26,23,174,84,52,38,29,20,31,17,10,12,82,73,44,60,38,39,29,26,23,11,0
0,4,12,19,24,21,18,24,17,18,95,76,60,60,46,26,33,24,17,7,75,57,55,41,44,40,29,20,29,19,0
30,63,28,34,23,18,14,13,12,17,169,108,55,31,28,16,22,10,12,7,78,77,63,50,37,36,28,24,15,13,0
0,6,8,11,22,17,30,16,23,25,88,81,67,51,41,32,30,30,11,11,60,76,57,44,47,34,39,19,18,17,0
20,62,36,37,11,17,22,22,16,27,164,90,48,46,30,22,24,17,11,10,74,72,45,54,36,35,29,27,27,13,0
1,6,3,15,31,19,26,24,21,23,96,75,75,56,44,36,18,24,15,9,70,63,58,46,42,38,43,25,12,16,0
26,70,25,32,19,22,24,17,27,23,166,92,52,35,27,26,25,19,15,7,86,64,52,53,39,31,25,30,15,12,0
1,8,10,18,23,25,22,16,21,31,95,99,62,51,31,27,19,18,18,15,81,67,66,34,43,35,34,22,21,20,0
18,67,31,35,21,13,18,19,18,19,169,87,47,44,29,19,33,17,13,8,81,64,61,49,33,38,29,26,21,15,0
2,7,10,34,28,23,20,20,20,21,83,77,71,43,47,43,29,13,22,17,63,50,57,61,43,32,32,29,16,23,0
24,75,26,31,24,18,12,25,17,14,178,85,56,45,34,25,16,10,10,7,82,67,42,48,40,31,26,30,18,15,0
1,7,14,20,19,27,19,16,23,20,98,85,77,46,35,35,29,18,16,16,67,73,68,62,47,33,20,25,13,14,0
24,66,22,28,20,9,14,18,22,20,169,87,45,40,27,24,18,17,14,11,71,70,62,57,30,34,21,25,21,27,0
1,5,10,13,18,19,22,18,28,26,88,92,57,62,39,35,17,14,22,16,57,62,59,49,53,31,39,14,21,18,0
23,70,36,30,16,19,17,18,18,19,163,113,53,39,25,23,16,16,8,9,86,68,58,43,51,35,17,15,19,13,0
0,3,12,18,21,35,23,15,15,25,97,87,60,59,40,25,19,27,17,15,63,73,64,44,38,34,39,19,27,16,0
25,65,28,40,28,11,12,16,12,19,168,96,44,52,33,22,21,13,8,11,85,64,57,48,31,36,26,24,25,17,0
0,4,6,22,27,19,26,19,19,22,83,83,65,64,43,21,34,22,14,18,70,69,52,49,37,34,27,30,24,22,0
23,75,28,37,34,18,18,14,21,15,185,85,42,41,31,30,14,18,10,11,85,64,65,58,35,31,21,20,22,22,0
0,1,9,22,26,30,16,19,23,21,88,85,63,59,34,28,35,13,18,17,67,71,65,41,43,32,32,23,29,14,0
22,69,27,28,22,17,20,21,22,12,156,91,63,45,33,23,14,13,11,13,89,70,56,42,44,39,26,24,17,21,0
1,6,9,17,23,21,21,20,22,21,97,83,64,46,45,30,30,19,19,19,64,60,54,50,39,29,45,19,21,23,0
26,71,32,35,22,9,3,11,11,12,149,100,85,29,21,21,21,17,11,8,87,61,59,50,35,38,23,31,17,19,0
0,9,12,26,16,19,23,19,22,16,98,88,62,54,34,29,22,24,19,11,69,67,55,51,49,30,35,26,24,17,0
21,70,30,40,27,5,14,11,20,30,164,95,51,51,29,26,12,15,14,11,71,100,49,57,38,38,24,24,20,17,0
0,3,14,18,21,17,21,15,20,20,97,84,74,69,31,34,23,11,12,13,78,67,55,49,30,36,23,18,24,18,0
32,66,29,31,16,15,15,12,14,15,162,95,53,44,26,38,16,14,9,15,92,67,53,46,40,31,28,26,17,20,0
0,3,18,18,25,23,27,28,30,24,90,68,77,63,41,40,23,15,11,11,74,66,56,56,33,34,33,26,16,17,0
20,69,30,31,25,13,18,14,16,25,151,93,71,50,20,24,21,17,11,5,79,71,55,51,41,39,20,27,17,18,0
0,6,10,25,29,11,8,13,21,21,92,96,66,45,42,32,15,14,21,13,76,62,61,44,30,45,32,21,27,15,0
26,75,28,28,24,14,21,18,20,18,147,99,72,38,27,27,21,15,7,9,80,77,74,46,28,33,26,18,18,20,0
0,6,5,23,26,17,28,26,18,29,75,90,75,61,37,31,31,28,13,14,63,67,82,50,37,27,27,24,18,13,0
26,62,37,23,19,17,11,10,23,23,177,78,62,35,31,27,17,20,12,10,76,75,64,52,29,30,31,31,19,8,0
1,3,5,13,21,22,29,28,23,28,104,73,53,62,43,44,27,17,11,10,74,65,60,48,35,40,30,18,16,16,0
27,73,34,32,19,16,19,12,19,24,161,97,54,34,37,30,16,18,11,13,97,76,56,46,43,38,26,17,11,17,0
0,7,8,11,19,24,17,22,19,22,90,88,70,50,37,33,30,17,16,11,75,66,61,50,36,41,29,26,14,17,0
26,64,33,29,24,21,8,15,20,23,161,93,58,37,37,28,16,12,6,11,60,68,65,43,50,47,29,24,20,14,0
0,6,14,26,23,15,14,14,15,22,93,87,78,52,43,31,17,14,18,12,73,61,45,35,48,38,35,25,26,15,0
27,78,23,28,21,8,17,17,18,26,164,89,47,44,34,29,20,18,21,5,79,98,58,53,29,32,29,15,17,14,0
1,8,9,19,20,20,31,13,12,24,104,56,72,56,40,28,29,24,20,13,74,70,55,57,38,34,27,20,15,23,0
20,72,31,33,25,17,12,15,8,12,173,96,59,44,23,27,14,16,10,8,77,75,64,34,39,44,23,20,19,18,0
0,0,14,28,21,16,20,19,19,18,89,68,76,62,42,22,25,21,17,21,71,55,63,56,40,31,31,18,18,10,0
25,72,31,44,18,7,10,8,10,14,158,111,49,33,34,27,16,13,14,4,95,72,62,49,41,37,22,21,18,14,0
